edge_id,scenario,water_level,crowd_density,risk_score
28161299,Severe_Flood,0.3745401188473625,0.7648478932199835,0.5306632285964109
102030532,Severe_Flood,0.9507143064099162,0.9151763371865977,0.9364991187205888
1149819098,Severe_Flood,0.7319939418114051,0.41349713706337177,0.6045952199121918
1416040846,Severe_Flood,0.5986584841970366,0.42358582687907886,0.5286294212698535
1042122764,Severe_Flood,0.15601864044243652,0.7026271063236521,0.3746620267949227
1289116083,Severe_Flood,0.15599452033620265,0.9427720011052766,0.4707055126438322
184720014,Severe_Flood,0.05808361216819946,0.2670609402393602,0.14167454339666377
1366537186,Severe_Flood,0.8661761457749352,0.44014420653793684,0.6957633700801358
23802583,Severe_Flood,0.6011150117432088,0.7959732435523011,0.6790583044668457
184720016,Severe_Flood,0.7080725777960455,0.6096935693740385,0.6687209744272427
184720015,Severe_Flood,0.020584494295802447,0.11058634396395473,0.05658523416306336
26748486,Severe_Flood,0.9699098521619943,0.6277327355622657,0.8330390055221029
186080195,Severe_Flood,0.8324426408004217,0.1867462845973269,0.5741640983191838
186080195,Severe_Flood,0.21233911067827616,0.5102159340784042,0.3314898400383274
1258018711,Severe_Flood,0.18182496720710062,0.5291032676604385,0.32073628738843574
"[1287586755, 1373597956, 1370773102]",Severe_Flood,0.18340450985343382,0.8762033622249848,0.4605240508020542
207260566,Severe_Flood,0.3042422429595377,0.46249427401243814,0.36754305538069787
1287586755,Severe_Flood,0.5247564316322378,0.2794424222358942,0.4266308278737004
25459750,Severe_Flood,0.43194501864211576,0.23096634821603157,0.35155355047168213
835030600,Severe_Flood,0.2912291401980419,0.8742518766843361,0.5244382347925596
211260243,Severe_Flood,0.6118528947223795,0.1710108544182284,0.43551607860071906
1113247773,Severe_Flood,0.13949386065204183,0.42586856088314373,0.2540437407444826
28295574,Severe_Flood,0.29214464853521815,0.187173114926947,0.2501560350919097
23030553,Severe_Flood,0.3663618432936917,0.7733040401143754,0.5291387220219652
23030553,Severe_Flood,0.45606998421703593,0.474372639974619,0.4633910465200691
186797300,Severe_Flood,0.7851759613930136,0.35114369055681205,0.611563053058533
186797300,Severe_Flood,0.19967378215835974,0.3610996406264668,0.26424412554560256
"[102030553, 29115467, 566573623]",Severe_Flood,0.5142344384136116,0.8522142067229794,0.6494263457373588
995118269,Severe_Flood,0.5924145688620425,0.5537739542944381,0.5769583230350007
23030553,Severe_Flood,0.046450412719997725,0.7178678511312636,0.3150173880845041
23046393,Severe_Flood,0.6075448519014384,0.8970385162506845,0.7233423176411369
23046393,Severe_Flood,0.17052412368729153,0.901741676040642,0.4630111446286318
23030553,Severe_Flood,0.06505159298527952,0.32850905433786315,0.17043457752631297
23030553,Severe_Flood,0.9488855372533332,0.9524512631463853,0.950311827610554
112716605,Severe_Flood,0.9656320330745594,0.024875882014605444,0.5893295726505778
112716605,Severe_Flood,0.8083973481164611,0.37683556101616567,0.6357726332763429
155785663,Severe_Flood,0.3046137691733707,0.8957988575088416,0.541087804507559
